season,week,game_id,play_id,defteam,player_name,player_id,event_type,down,ydstogo,yds_gained,first_down,epa
2024,14,2024_14_LV_TB,498.0,TB,L.David,00-0029562,sack,3.0,10.0,,0.0,-1.9084393784869462
2024,14,2024_14_NYJ_MIA,3049.0,MIA,J.Brooks,00-0036409,sack,3.0,4.0,,0.0,-1.439967658599869
2024,15,2024_15_ATL_LV,250.0,ATL,K.Elliss,00-0035316,sack,1.0,10.0,,0.0,-1.5676263889763504
2024,15,2024_15_BAL_NYG,299.0,NYG,M.McFadden,00-0037259,sack,1.0,10.0,,0.0,-0.5140079252887517
2024,15,2024_15_BAL_NYG,3869.0,BAL,M.Harrison,00-0036280,sack,2.0,10.0,,0.0,-0.703106677159667
2024,15,2024_15_CHI_MIN,4130.0,CHI,T.Edwards,00-0035386,sack,3.0,8.0,,0.0,-2.6150516658090055
2024,15,2024_15_GB_SEA,423.0,GB,E.Cooper,00-0039850,sack,3.0,4.0,,0.0,-2.5452294726856053
2024,15,2024_15_LA_SF,3818.0,LA,C.Rozeboom,00-0035942,sack,2.0,10.0,,0.0,-0.33015788276679814
2024,15,2024_15_MIA_HOU,2010.0,MIA,A.Walker,00-0033570,sack,1.0,5.0,,0.0,-0.8386295677046292
2024,15,2024_15_TB_LAC,1106.0,TB,L.David,00-0029562,sack,1.0,10.0,,0.0,-1.813194649410434
2024,15,2024_15_TB_LAC,1734.0,LAC,T.Dye,00-0036338,sack,2.0,1.0,,0.0,-1.1755636519519612
2024,15,2024_15_WAS_NO,1172.0,NO,W.Gay,00-0036362,sack,1.0,10.0,,0.0,-0.5093867147807032
2024,15,2024_15_WAS_NO,1725.0,NO,D.Davis,00-0029607,sack,1.0,10.0,,0.0,-0.5773098869249225
2024,16,2024_16_ARI_CAR,3392.0,CAR,J.Windmon,00-0039457,sack,1.0,10.0,,0.0,-0.9573006450664252
2024,16,2024_16_ARI_CAR,4389.0,ARI,K.White,00-0034375,sack,3.0,2.0,,0.0,-1.8802897257264704
2024,16,2024_16_HOU_KC,780.0,HOU,C.Harris,00-0037823,sack,2.0,5.0,,0.0,-1.9663230639416724
2024,16,2024_16_NYG_ATL,1853.0,ATL,K.Elliss,00-0035316,sack,1.0,10.0,,0.0,-5.407400845899247
2024,16,2024_16_SF_MIA,398.0,MIA,J.Brooks,00-0036409,sack,2.0,17.0,,0.0,-1.3781417957507074
2024,17,2024_17_ATL_WAS,784.0,ATL,J.Bertrand,00-0039370,sack,2.0,10.0,,0.0,-2.4015817381441593
2024,17,2024_17_BAL_HOU,2236.0,BAL,C.Board,00-0034787,sack,2.0,8.0,,0.0,-2.2261623735539615
2024,17,2024_17_BAL_HOU,2693.0,BAL,R.Smith,00-0034874,sack,1.0,10.0,,0.0,-0.4737142854137346
2024,17,2024_17_GB_MIN,3402.0,MIN,B.Cashman,00-0035276,sack,2.0,10.0,,0.0,-0.6618822407908738
2024,17,2024_17_LV_NO,2806.0,LV,R.Spillane,00-0034720,sack,3.0,10.0,,0.0,-2.2812110232189298
2024,17,2024_17_TEN_JAX,3150.0,TEN,J.Baker,00-0034797,sack,1.0,10.0,,0.0,-0.43422858067788184
2024,18,2024_18_CHI_GB,3290.0,CHI,T.Edwards,00-0035386,sack,2.0,4.0,,0.0,-1.4702258554752916
2024,18,2024_18_CIN_PIT,674.0,PIT,P.Queen,00-0036323,sack,3.0,6.0,,0.0,-1.5736911627508448
2024,18,2024_18_JAX_IND,512.0,JAX,D.Lloyd,00-0037244,sack,1.0,10.0,,0.0,-1.444727876689285
2024,18,2024_18_JAX_IND,4706.0,IND,Z.Franklin,00-0034431,sack,3.0,6.0,,0.0,-1.6888354662805796
2024,18,2024_18_NO_TB,3861.0,NO,N.Sewell,00-0037544,sack,1.0,10.0,,0.0,-0.9225973873399198
2024,19,2024_19_MIN_LA,2918.0,MIN,B.Cashman,00-0035276,sack,2.0,10.0,,0.0,-0.8696197343524545
2024,19,2024_19_WAS_TB,407.0,TB,L.David,00-0029562,sack,3.0,2.0,,0.0,-1.3255402295617387
2024,20,2024_20_LA_PHI,1936.0,LA,O.Speights,00-0039774,sack,2.0,8.0,,0.0,-2.414722587214783
2024,21,2024_21_WAS_PHI,1447.0,WAS,F.Luvu,00-0034302,sack,3.0,6.0,,0.0,-2.276058664130355
2024,22,2024_22_KC_PHI,3302.0,KC,D.Tranquill,00-0035262,sack,2.0,8.0,,0.0,-1.3824478001333773
2025,1,2025_01_ARI_NO,486.0,NO,P.Werner,00-0036927,sack,1.0,15.0,,0.0,-0.6539916452020407
2025,1,2025_01_HOU_LA,2599.0,HOU,H.To'oTo'o,00-0038599,sack,2.0,4.0,,0.0,-1.9983225935138762
2025,1,2025_01_KC_LAC,1613.0,LAC,D.Henley,00-0038553,sack,3.0,9.0,,0.0,-1.1660043532270556
2025,1,2025_01_KC_LAC,2769.0,KC,D.Tranquill,00-0035262,sack,2.0,7.0,,0.0,-1.9713412444107234
2025,1,2025_01_KC_LAC,3998.0,KC,D.Tranquill,00-0035262,sack,2.0,9.0,,0.0,-1.1980978278443217
2025,1,2025_01_PIT_NYJ,3529.0,NYJ,Qu.Williams,00-0035680,sack,3.0,15.0,,0.0,-1.2564662692602724
2025,1,2025_01_TEN_DEN,2978.0,DEN,J.Strnad,00-0036428,sack,1.0,10.0,,0.0,-1.065906795207411
2025,2,2025_02_CLE_BAL,3219.0,CLE,D.Bush,00-0035525,sack,1.0,10.0,,0.0,-1.523273168830201
2025,2,2025_02_DEN_IND,2880.0,DEN,J.Strnad,00-0036428,sack,2.0,11.0,,0.0,-1.4548436016775668
2025,2,2025_02_JAX_CIN,381.0,JAX,F.Oluokun,00-0034413,sack,3.0,9.0,,0.0,-2.2094448329880834
2025,2,2025_02_LAC_LV,3605.0,LAC,D.Henley,00-0038553,sack,4.0,3.0,,0.0,-3.447055382654071
2025,2,2025_02_NE_MIA,2253.0,MIA,J.Brooks,00-0036409,sack,3.0,7.0,,0.0,-2.140694956993684
2025,2,2025_02_NE_MIA,4122.0,NE,R.Spillane,00-0034720,sack,3.0,12.0,,0.0,-0.6470103046740405
2025,2,2025_02_SEA_PIT,1265.0,PIT,P.Wilson,00-0039741,sack,1.0,10.0,,0.0,-1.3288350231014192
2025,3,2025_03_ATL_CAR,2691.0,ATL,K.Elliss,00-0035316,sack,3.0,2.0,,0.0,-2.1758897878431624
2025,3,2025_03_CIN_MIN,3843.0,MIN,A.Keys,00-0040501,sack,3.0,3.0,,0.0,-2.470558271743357
2025,3,2025_03_DEN_LAC,4250.0,LAC,T.Dye,00-0036338,sack,1.0,10.0,,0.0,-0.45781868509948254
2025,3,2025_03_DET_BAL,1552.0,DET,J.Campbell,00-0039018,sack,4.0,2.0,,0.0,-3.706583588325884
2025,3,2025_03_DET_BAL,3228.0,DET,T.Nowaske,00-0038660,sack,2.0,9.0,,0.0,-1.0487923346809112
2025,3,2025_03_DET_BAL,3263.0,DET,D.Barnes,00-0036964,sack,3.0,13.0,,0.0,-0.8765573031917948
2025,3,2025_03_GB_CLE,2856.0,CLE,C.Schwesinger,00-0040579,sack,3.0,1.0,,0.0,-2.9429842405952513
2025,3,2025_03_LV_WAS,1896.0,WAS,B.Wagner,00-0029255,sack,2.0,10.0,,0.0,-1.0549656872171909
2025,3,2025_03_LV_WAS,2676.0,WAS,B.Wagner,00-0029255,sack,2.0,13.0,,0.0,-1.7394200968556106
2025,3,2025_03_MIA_BUF,2240.0,MIA,T.Dodson,00-0035352,sack,1.0,1.0,,1.0,-0.1414597316761501
2025,3,2025_03_NYJ_TB,4141.0,TB,L.David,00-0029562,sack,1.0,15.0,,0.0,-0.699092311784625
2025,4,2025_04_CLE_DET,2747.0,DET,A.Anzalone,00-0033914,sack,2.0,3.0,,0.0,-0.5850299266166985
2025,4,2025_04_MIN_PIT,482.0,PIT,P.Queen,00-0036323,sack,3.0,9.0,,0.0,-1.3366835341893322
2025,4,2025_04_NYJ_MIA,1492.0,MIA,T.Dodson,00-0035352,sack,4.0,5.0,,0.0,-3.868312709557358
2025,4,2025_04_PHI_TB,923.0,PHI,Z.Baun,00-0036418,sack,3.0,10.0,,0.0,-1.5912526071999737
2025,4,2025_04_SEA_ARI,4123.0,SEA,D.Thomas,00-0038922,sack,2.0,2.0,,0.0,-1.3782595588709228
2025,4,2025_04_WAS_ATL,1092.0,WAS,F.Luvu,00-0034302,sack,1.0,10.0,,0.0,-1.306589720537886
2025,5,2025_05_DEN_PHI,857.0,DEN,A.Singleton,00-0031898,sack,2.0,7.0,,0.0,-0.9468509430298582
2025,5,2025_05_DEN_PHI,4463.0,PHI,Z.Baun,00-0036418,sack,3.0,8.0,,0.0,-0.542803741293028
2025,5,2025_05_DET_CIN,4094.0,DET,D.Barnes,00-0036964,sack,1.0,10.0,,0.0,-2.1631847786484286
2025,5,2025_05_HOU_BAL,2812.0,BAL,T.Simpson,00-0038504,sack,2.0,6.0,,0.0,-1.9056117159780115
2025,5,2025_05_LV_IND,3478.0,IND,Z.Franklin,00-0034431,sack,1.0,5.0,,0.0,-2.2375158932991326
2025,5,2025_05_MIN_CLE,3442.0,MIN,I.Pace,00-0038807,sack,3.0,4.0,,0.0,-1.5564641375094652
2025,5,2025_05_NE_BUF,3805.0,BUF,S.Thompson,00-0031550,sack,3.0,5.0,,0.0,-1.589608491398394
2025,6,2025_06_CHI_WAS,2004.0,WAS,F.Luvu,00-0034302,sack,3.0,5.0,,0.0,-0.9190043620183133
2025,6,2025_06_DAL_CAR,2502.0,DAL,M.Liufau,00-0039352,sack,1.0,10.0,,0.0,-1.3044274314306676
2025,6,2025_06_DEN_NYJ,3983.0,DEN,J.Strnad,00-0036428,sack,1.0,10.0,,0.0,-1.353947539406363
2025,6,2025_06_DET_KC,1055.0,DET,J.Campbell,00-0039018,sack,2.0,4.0,,0.0,-0.7564273250754923
2025,6,2025_06_NE_NO,3345.0,NO,P.Werner,00-0036927,sack,2.0,10.0,,0.0,-1.0900140521116555
2025,6,2025_06_PHI_NYG,1069.0,NYG,D.Muasau,00-0039829,sack,1.0,10.0,,0.0,-0.5478796805255115
2025,6,2025_06_SEA_JAX,3028.0,SEA,D.Thomas,00-0038922,sack,2.0,2.0,,0.0,-1.8639371062163264
2025,6,2025_06_SF_TB,3142.0,TB,L.David,00-0029562,sack,3.0,11.0,,0.0,-1.8837918038479984
2025,6,2025_06_TEN_LV,1337.0,LV,D.White,00-0035707,sack,3.0,7.0,,0.0,-5.423033153696451
2025,7,2025_07_CAR_NYJ,3524.0,NYJ,J.Sherwood,00-0036500,sack,3.0,5.0,,0.0,-3.1745131615316495
2025,7,2025_07_GB_ARI,1735.0,GB,Q.Walker,00-0037074,sack,2.0,15.0,,0.0,-1.0926073212176561
2025,7,2025_07_LA_JAX,1117.0,LA,N.Landman,00-0037587,sack,1.0,10.0,,0.0,-0.9044372336938977
