season,week,player_name,defteam,3rd_down_stop,4th_down_stop,qb_hit,sack,tackle_for_loss,forced_fumble,drive_stopper_score,total_impact_plays
2025,2,B.Burns,NYG,1,0,1,1,2,0,10.0,5
2025,15,J.Elliss,DEN,2,0,1,1,1,0,10.0,5
2025,18,C.Young,NO,1,0,1,1,2,0,10.0,5
2025,17,Y.Diaby,TB,1,0,1,1,2,0,10.0,5
2025,2,J.Sawyer,PIT,1,0,1,1,2,0,10.0,5
2025,7,S.Dennis,TB,2,0,1,1,1,0,10.0,5
2025,2,J.Sweat,ARI,1,0,1,1,2,0,10.0,5
2025,13,C.Robinson,MIA,0,1,2,1,1,0,10.0,5
2025,2,J.Brooks,MIA,2,0,1,1,1,0,10.0,5
2025,14,J.Campbell,DET,2,0,1,1,1,0,10.0,5
2025,13,C.Young,NO,1,0,1,1,2,0,10.0,5
2025,15,J.Gibbens,NE,1,0,1,1,2,0,10.0,5
2025,15,V.Miller,WAS,1,0,2,1,1,0,9.5,5
2025,13,F.Luvu,WAS,1,0,2,1,1,0,9.5,5
2025,19,H.To'oTo'o,HOU,4,0,1,0,0,0,9.5,5
2025,13,H.Landry,NE,1,0,2,1,1,0,9.5,5
2025,6,T.Tuipulotu,LAC,1,0,2,1,1,0,9.5,5
2025,5,Z.Smith,PHI,1,0,2,1,1,0,9.5,5
2025,12,D.Turner,MIN,1,0,2,1,1,0,9.5,5
2025,3,J.Sweat,ARI,1,0,2,1,1,0,9.5,5
2025,3,Y.Diaby,TB,0,0,2,1,2,0,9.5,5
2025,16,C.Schwesinger,CLE,1,0,2,1,1,0,9.5,5
2025,4,T.Watt,PIT,1,0,2,1,1,0,9.5,5
2025,2,K.Thibodeaux,NYG,1,0,2,1,1,0,9.5,5
2025,5,Ja.Phillips,MIA,1,0,2,1,1,0,9.5,5
2025,5,J.Verse,LA,0,0,5,0,1,0,9.5,6
2025,18,C.Jordan,NO,0,0,2,1,2,0,9.5,5
2025,18,K.Chaisson,NE,1,0,2,1,1,0,9.5,5
2025,12,J.Pearce,ATL,1,0,2,1,1,0,9.5,5
2025,2,H.Landry,NE,1,0,2,1,1,0,9.5,5
2025,10,K.Chaisson,NE,1,0,2,1,1,0,9.5,5
2025,5,V.Miller,WAS,1,0,2,1,1,0,9.5,5
2025,14,O.Oweh,LAC,1,0,2,1,1,0,9.5,5
2025,11,M.Parsons,GB,0,1,3,1,0,0,9.5,5
2025,15,T.Robinson,BAL,1,0,2,1,1,0,9.5,5
2025,17,A.Van Ginkel,MIN,1,0,2,1,1,0,9.5,5
2025,20,D.Winters,SF,1,0,1,0,3,0,9.5,5
2025,17,C.Young,NO,1,0,2,1,1,0,9.5,5
2025,4,C.Jordan,NO,1,0,2,1,1,0,9.5,5
2025,11,J.Sweat,ARI,1,0,2,1,1,0,9.5,5
2025,11,J.Phillips,PHI,1,0,2,1,1,0,9.5,5
2025,4,B.Young,LA,1,0,2,1,1,0,9.5,5
2025,16,B.Ojulari,ARI,1,0,2,1,1,0,9.5,5
2025,1,A.Highsmith,PIT,0,0,3,1,1,0,9.0,5
2025,18,D.Hall,SEA,0,0,3,1,1,0,9.0,5
2025,18,J.Trotter,PHI,2,0,2,0,1,0,9.0,5
2025,10,C.Schwesinger,CLE,1,0,2,0,2,0,9.0,5
2025,2,R.Smith,BAL,0,0,2,0,3,0,9.0,5
2025,4,K.Thibodeaux,NYG,0,0,3,1,1,0,9.0,5
2025,17,D.Flannigan-Fowles,NYG,1,1,0,1,1,0,9.0,4
2025,16,J.Sawyer,PIT,2,0,2,0,1,0,9.0,5
2025,3,F.Luvu,WAS,3,1,0,0,0,0,8.5,4
2025,10,J.Walker,ATL,2,0,0,1,1,0,8.5,4
2025,8,R.Spillane,NE,1,1,0,0,2,0,8.5,4
2025,16,C.Young,NO,0,1,1,1,1,0,8.5,4
2025,16,D.Tranquill,KC,3,1,0,0,0,0,8.5,4
2025,11,J.Campbell,DET,2,1,0,0,1,0,8.5,4
2025,17,B.Young,LA,1,0,3,0,1,0,8.5,5
2025,12,C.Jordan,NO,1,0,0,1,2,0,8.5,4
2025,2,T.Robinson,BAL,0,1,1,1,1,0,8.5,4
2025,11,K.Elliss,ATL,0,1,1,1,1,0,8.5,4
2025,7,K.Murray,DAL,1,0,0,1,2,0,8.5,4
2025,7,T.Edmunds,CHI,0,1,1,1,1,0,8.5,4
2025,17,T.Dodson,MIA,2,0,0,1,1,0,8.5,4
2025,15,C.Rozeboom,CAR,1,1,1,1,0,0,8.5,4
2025,4,Z.Baun,PHI,2,0,0,1,1,0,8.5,4
2025,16,I.Stalbird,NO,1,0,1,1,1,0,8.0,4
2025,3,J.Verse,LA,0,0,1,1,2,0,8.0,4
2025,16,E.Wilson,MIN,1,0,1,1,1,0,8.0,4
2025,7,A.Nelson,TB,2,0,1,1,0,0,8.0,4
2025,16,T.Jones,TEN,1,0,1,1,1,0,8.0,4
2025,10,B.Mafe,SEA,1,0,1,1,1,0,8.0,4
2025,1,D.Henley,LAC,1,0,1,1,1,0,8.0,4
2025,18,J.Harrell,TEN,1,0,1,1,1,0,8.0,4
2025,6,D.Thomas,SEA,1,0,1,1,1,0,8.0,4
2025,14,C.Braswell,TB,1,0,1,1,1,0,8.0,4
2025,13,Z.Barnes,NYG,1,0,1,1,1,0,8.0,4
2025,18,D.Knight,CIN,2,0,1,1,0,0,8.0,4
2025,7,H.Landry,NE,1,0,1,1,1,0,8.0,4
2025,9,K.Chaisson,NE,0,0,1,1,2,0,8.0,4
2025,8,M.Green,BAL,1,0,1,1,1,0,8.0,4
2025,6,L.David,TB,1,0,1,1,1,0,8.0,4
2025,8,K.Mack,LAC,1,0,1,1,1,0,8.0,4
2025,7,D.White,LV,1,1,1,0,1,0,8.0,4
2025,10,J.Pearce,ATL,1,0,1,1,1,0,8.0,4
2025,7,Ja.Phillips,MIA,1,0,1,1,1,0,8.0,4
2025,16,B.Wagner,WAS,0,0,1,1,2,0,8.0,4
2025,7,J.Uche,PHI,0,0,1,1,2,0,8.0,4
2025,7,K.Mack,LAC,1,0,1,1,1,0,8.0,4
2025,12,G.Pratt,IND,2,0,0,0,2,0,8.0,4
2025,17,A.Anzalone,DET,1,0,1,1,1,0,8.0,4
2025,3,A.Keys,MIN,1,0,1,1,1,0,8.0,4
2025,11,E.Ponder,NE,1,0,1,1,1,0,8.0,4
2025,11,J.Brooks,MIA,4,0,0,0,0,0,8.0,4
2025,13,B.Chubb,MIA,1,0,1,1,1,0,8.0,4
2025,3,B.Chubb,MIA,1,0,1,1,1,0,8.0,4
2025,8,T.Tuipulotu,LAC,0,0,1,1,2,0,8.0,4
2025,10,W.Gay,MIA,1,0,1,1,1,0,8.0,4
2025,7,D.Tillman,DEN,1,0,1,1,1,0,8.0,4
2025,6,J.Johnson,NYJ,1,0,1,1,1,0,8.0,4
2025,3,J.Cooper,DEN,1,0,1,1,1,0,8.0,4
2025,6,F.Luvu,WAS,1,0,1,1,1,0,8.0,4
2025,7,D.Jones,TEN,1,0,1,1,1,0,8.0,4
2025,6,J.Strnad,DEN,1,0,1,1,1,0,8.0,4
2025,7,D.Barnes,DET,1,0,1,1,1,0,8.0,4
2025,1,J.Cooper,DEN,1,0,1,1,1,0,8.0,4
2025,21,J.Cooper,DEN,1,0,1,1,1,0,8.0,4
2025,21,D.Lawrence,SEA,1,0,1,1,1,0,8.0,4
2025,21,C.Elliss,NE,1,0,1,1,1,0,8.0,4
2025,13,A.Van Ginkel,MIN,1,0,1,1,1,0,8.0,4
2025,9,L.Chenal,KC,1,0,1,1,1,0,8.0,4
2025,1,H.Reddick,TB,1,0,1,1,1,0,8.0,4
2025,19,A.Jennings,NE,1,0,1,1,1,0,8.0,4
2025,18,V.Miller,WAS,1,0,1,1,1,0,8.0,4
2025,18,E.Ponder,NE,1,0,1,1,1,0,8.0,4
2025,10,Q.Williams,NYJ,0,0,1,1,2,0,8.0,4
2025,10,N.Herbig,PIT,0,0,1,1,2,0,8.0,4
2025,2,P.Umanmielen,CAR,1,0,1,1,1,0,8.0,4
2025,7,Z.Collins,ARI,1,0,1,1,1,0,8.0,4
2025,5,I.Pace,MIN,1,0,1,1,1,0,8.0,4
2025,5,T.Dye,LAC,1,0,0,0,3,0,8.0,4
2025,14,Q.Williams,NYJ,1,0,1,1,1,0,8.0,4
2025,7,U.Nwosu,SEA,1,0,1,1,1,0,8.0,4
2025,1,B.Browning,ARI,1,0,1,1,1,0,8.0,4
2025,2,J.Strnad,DEN,1,0,1,1,1,0,8.0,4
2025,10,R.Harrison,ATL,1,0,1,1,1,0,8.0,4
2025,7,E.Roberts,LV,3,0,0,0,1,0,8.0,4
2025,5,P.Jones,CAR,1,0,1,1,1,0,8.0,4
2025,4,F.Luvu,WAS,1,0,1,1,1,0,8.0,4
2025,18,J.Stewart,LA,1,0,1,1,1,0,8.0,4
2025,10,J.Hunt,PHI,0,0,1,1,2,0,8.0,4
